"Name","Color","Rarity","# GIH","GIH WR"
"Summon: Bahamut","","M","2953","58.0%"
"Ultima, Origin of Oblivion","","R","4299","53.4%"
"Adelbert Steiner","W","U","13911","58.3%"
"Aerith Gainsborough","W","R","4066","56.0%"
"Aerith Rescue Mission","W","C","14804","54.0%"
"Ambrosia Whiteheart","W","U","14236","56.6%"
"Ashe, Princess of Dalmasca","W","U","10182","53.9%"
"Auron's Inspiration","W","U","3773","50.5%"
"Battle Menu","W","U","14989","58.7%"
"Cloud, Midgar Mercenary","W","M","2160","58.8%"
"Cloudbound Moogle","W","C","9230","51.8%"
"Coeurl","W","C","13972","53.5%"
"Crystal Fragments","W","U","7529","52.5%"
"The Crystal's Chosen","W","U","10674","55.4%"
"Delivery Moogle","W","U","16066","59.9%"
"Dion, Bahamut's Dominant","W","R","7104","65.5%"
"Dragoon's Lance","W","U","17943","61.6%"
"Dwarven Castle Guard","W","C","23671","54.3%"
"Fate of the Sun-Cryst","W","C","24860","53.7%"
"From Father to Son","W","R","45",""
"G'raha Tia","W","U","11264","54.1%"
"Gaelicat","W","C","27952","56.6%"
"Machinist's Arsenal","W","R","5805","58.9%"
"Magitek Armor","W","U","14443","57.9%"
"Magitek Infantry","W","C","30672","57.6%"
"Minwu, White Mage","W","R","2997","51.3%"
"Moogles' Valor","W","R","5303","58.6%"
"Paladin's Arms","W","C","31179","56.2%"
"Phoenix Down","W","U","4673","51.9%"
"Restoration Magic","W","U","7868","56.7%"
"Sidequest: Catch a Fish","W","U","3424","51.4%"
"Slash of Light","W","C","29656","56.7%"
"Snow Villiers","W","U","6834","52.5%"
"Stiltzkin, Moogle Merchant","W","R","2909","52.1%"
"Summon: Choco/Mog","W","C","19582","53.7%"
"Summon: Knights of Round","W","M","2674","59.9%"
"Summon: Primal Garuda","W","U","11048","55.7%"
"Ultima","W","R","3649","55.4%"
"Venat, Heart of Hydaelyn","W","R","5581","58.2%"
"Weapons Vendor","W","C","26817","55.8%"
"White Auracite","W","C","40282","59.6%"
"White Mage's Staff","W","C","39188","57.8%"
