"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Summon: Bahamut","","M","3104","1.39","2164","1.37","11649","88.9%","54.9%","1906","52.0%","3150","60.5%","5056","57.3%","6448","52.8%","4.5pp"
"Ultima, Origin of Oblivion","","R","9978","2.16","3163","2.23","16669","89.2%","53.3%","2705","51.9%","4339","54.9%","7044","53.8%","9557","52.7%","1.0pp"
"Adelbert Steiner","W","U","41860","3.28","11150","3.83","59899","87.2%","57.3%","10806","58.9%","13839","57.8%","24645","58.3%","35184","56.6%","1.7pp"
"Aerith Gainsborough","W","R","10112","2.20","3369","2.35","16510","83.0%","54.6%","2934","55.9%","4000","55.5%","6934","55.7%","9551","53.9%","1.7pp"
"Aerith Rescue Mission","W","C","204730","6.69","25604","9.55","59303","38.3%","54.6%","9890","51.8%","13707","55.7%","23597","54.1%","35595","55.0%","-0.9pp"
"Ambrosia Whiteheart","W","U","46023","3.50","11199","4.22","59557","87.4%","56.1%","10707","56.3%","13742","56.7%","24449","56.5%","34730","55.8%","0.7pp"
"Ashe, Princess of Dalmasca","W","U","53639","4.24","9159","5.48","41677","75.7%","55.3%","7505","55.6%","9576","53.6%","17081","54.5%","24545","55.8%","-1.3pp"
"Auron's Inspiration","W","U","80223","6.94","9849","9.92","15684","26.6%","54.0%","2685","50.7%","3497","50.9%","6182","50.8%","9488","56.1%","-5.3pp"
"Battle Menu","W","U","43395","3.25","11642","3.92","63804","89.2%","57.0%","11391","57.4%","14964","59.4%","26355","58.6%","37280","55.9%","2.6pp"
"Cloud, Midgar Mercenary","W","M","4117","1.80","1930","1.76","9544","81.1%","56.8%","1681","58.5%","2289","58.1%","3970","58.3%","5550","55.9%","2.4pp"
"Cloudbound Moogle","W","C","210166","6.98","22105","10.41","35701","26.9%","53.2%","6203","49.6%","8444","53.9%","14647","52.1%","20989","53.9%","-1.8pp"
"Coeurl","W","C","206346","6.81","24069","9.91","57221","39.3%","54.6%","10375","53.7%","12888","53.7%","23263","53.7%","33847","55.2%","-1.5pp"
"Crystal Fragments","W","U","63771","5.09","8726","7.10","31056","59.7%","53.9%","5447","52.9%","7050","52.2%","12497","52.5%","17275","54.3%","-1.8pp"
"The Crystal's Chosen","W","U","59281","4.74","11590","5.98","46146","66.5%","54.7%","7432","54.1%","11160","57.3%","18592","56.0%","27433","53.8%","2.2pp"
"Delivery Moogle","W","U","49495","3.84","13937","4.43","70223","81.2%","58.2%","11904","59.0%","16655","60.6%","28559","59.9%","41460","57.0%","2.9pp"
"Dion, Bahamut's Dominant","W","R","6298","1.40","4984","1.38","29640","94.2%","58.7%","5277","64.3%","7336","65.8%","12613","65.2%","16830","53.9%","11.3pp"
"Dragoon's Lance","W","U","36327","2.82","13622","3.10","77506","90.5%","58.6%","14122","62.7%","17310","60.2%","31432","61.4%","40654","55.3%","6.0pp"
"Dwarven Castle Guard","W","C","197708","6.19","26996","8.66","95150","58.5%","55.2%","17182","55.0%","21603","53.6%","38785","54.2%","56188","55.8%","-1.6pp"
"Fate of the Sun-Cryst","W","C","163584","4.75","22990","6.75","103936","75.1%","54.4%","17451","51.3%","25081","55.7%","42532","53.9%","61081","54.7%","-0.8pp"
"From Father to Son","W","R","32208","6.51","4037","9.92","296","1.2%","","43","","71","","114","","183","",""
"G'raha Tia","W","U","48824","3.79","9566","4.73","45002","78.7%","54.1%","7482","51.9%","10913","54.7%","18395","53.5%","26554","54.4%","-0.8pp"
"Gaelicat","W","C","179317","5.48","28433","7.34","129900","74.7%","56.8%","22240","56.0%","30768","57.1%","53008","56.6%","76669","56.9%","-0.3pp"
"Machinist's Arsenal","W","R","9520","2.09","4561","2.09","24700","88.5%","56.5%","4189","57.5%","6051","60.4%","10240","59.2%","13973","54.2%","5.0pp"
"Magitek Armor","W","U","60169","4.65","13368","5.71","62636","76.2%","57.2%","10594","57.9%","14812","57.0%","25406","57.3%","36669","56.8%","0.5pp"
"Magitek Infantry","W","C","170496","5.26","36447","6.53","151126","67.0%","58.5%","27117","60.0%","29009","55.8%","56126","57.8%","91829","58.7%","-1.0pp"
"Minwu, White Mage","W","R","13657","2.91","2962","3.27","11705","68.0%","52.5%","1957","50.6%","2830","52.1%","4787","51.5%","6918","53.1%","-1.6pp"
"Moogles' Valor","W","R","11293","2.44","4567","2.52","23388","83.5%","56.6%","3928","56.5%","5506","61.2%","9434","59.3%","13888","54.7%","4.6pp"
"Paladin's Arms","W","C","174081","5.17","27509","7.06","136754","81.4%","56.4%","24135","56.1%","31633","55.7%","55768","55.9%","79349","56.6%","-0.8pp"
"Phoenix Down","W","U","73789","6.02","9032","8.69","19966","36.9%","53.4%","3309","50.6%","4641","53.4%","7950","52.3%","11066","53.4%","-1.2pp"
"Restoration Magic","W","U","64457","5.01","9269","6.90","35554","63.3%","55.9%","5940","55.0%","8462","58.5%","14402","57.0%","21086","55.1%","1.9pp"
"Sidequest: Catch a Fish","W","U","71486","6.04","7815","9.01","12727","27.4%","52.2%","2193","51.2%","2949","50.3%","5142","50.6%","7560","53.3%","-2.7pp"
"Slash of Light","W","C","177806","5.34","28197","7.25","132188","76.7%","56.3%","22045","55.2%","30814","57.3%","52859","56.4%","79066","56.3%","0.1pp"
"Snow Villiers","W","U","66945","5.37","8260","7.75","27050","54.8%","53.6%","4697","51.4%","6171","51.7%","10868","51.6%","16158","54.9%","-3.3pp"
"Stiltzkin, Moogle Merchant","W","R","21708","4.29","3638","5.75","11841","54.4%","53.5%","2131","52.7%","2806","52.6%","4937","52.6%","6845","54.1%","-1.4pp"
"Summon: Choco/Mog","W","C","184993","5.74","23846","8.15","80322","55.8%","54.6%","13767","52.8%","18039","54.1%","31806","53.6%","48041","55.3%","-1.7pp"
"Summon: Knights of Round","W","M","3223","1.47","2156","1.44","11204","85.7%","56.0%","1918","56.0%","2822","61.2%","4740","59.1%","6353","53.4%","5.7pp"
"Summon: Primal Garuda","W","U","45503","3.51","8985","4.44","44402","81.3%","55.4%","7598","54.9%","10361","56.6%","17959","55.9%","26274","55.0%","0.9pp"
"Ultima","W","R","12019","2.62","3758","2.75","14783","66.9%","53.6%","2492","52.4%","3762","57.7%","6254","55.6%","8447","52.1%","3.5pp"
"Venat, Heart of Hydaelyn","W","R","8496","1.86","4247","1.85","22750","89.0%","55.6%","3978","57.7%","5466","57.6%","9444","57.6%","13233","54.2%","3.5pp"
"Weapons Vendor","W","C","181922","5.61","29155","7.57","114400","64.4%","56.3%","19578","54.8%","26415","56.1%","45993","55.5%","68223","56.9%","-1.3pp"
"White Auracite","W","C","115107","3.39","31963","4.04","175331","89.0%","57.3%","29251","58.0%","41436","60.3%","70687","59.3%","102350","55.6%","3.8pp"
"White Mage's Staff","W","C","157305","4.54","31373","5.86","172426","89.1%","57.2%","31316","59.3%","38793","56.5%","70109","57.8%","94501","56.4%","1.3pp"
"The Wind Crystal","W","R","18027","3.82","2801","4.98","8472","52.2%","51.6%","1404","48.6%","1963","53.8%","3367","51.6%","5012","51.3%","0.4pp"
"You're Not Alone","W","C","210873","7.11","28302","9.92","74911","43.5%","56.9%","12264","55.7%","16996","57.0%","29260","56.4%","45598","57.2%","-0.8pp"
"Zack Fair","W","U","48535","3.72","10912","4.52","56561","84.8%","56.6%","10112","58.2%","13040","56.7%","23152","57.4%","33150","56.0%","1.4pp"
"Astrologian's Planisphere","U","R","9623","2.16","5029","2.18","27843","91.6%","55.6%","5154","58.8%","7459","56.5%","12613","57.4%","14468","53.7%","3.7pp"
"Cargo Ship","U","U","74653","6.32","11216","8.67","28399","42.3%","53.7%","5095","54.5%","7057","54.0%","12152","54.2%","15650","52.9%","1.3pp"
"Combat Tutorial","U","C","176593","5.34","40617","6.81","192024","77.3%","56.7%","33262","57.5%","52028","60.2%","85290","59.2%","105063","54.6%","4.6pp"
"Dragoon's Wyvern","U","C","150496","4.40","45599","5.32","248978","88.4%","57.1%","43957","57.9%","67935","59.6%","111892","58.9%","134802","55.5%","3.5pp"
"Dreams of Laguna","U","C","188871","5.80","40402","7.59","184679","75.0%","56.4%","33003","56.4%","49667","59.4%","82670","58.2%","101358","54.9%","3.3pp"
"Edgar, King of Figaro","U","R","18902","3.94","4235","4.73","15189","60.3%","52.8%","2496","49.6%","4020","55.8%","6516","53.4%","8610","52.2%","1.2pp"
"Eject","U","U","52821","4.01","17858","4.66","97783","89.2%","56.7%","16391","55.9%","27091","61.2%","43482","59.2%","53303","54.6%","4.6pp"
"Ether","U","U","84528","7.75","11323","11.00","7525","11.2%","50.0%","1187","46.8%","2124","51.2%","3311","49.6%","4173","50.2%","-0.6pp"
"Gogo, Master of Mimicry","U","M","7111","3.07","2000","3.45","8391","71.6%","51.9%","1423","48.5%","2326","53.4%","3749","51.6%","4596","52.1%","-0.5pp"
"Ice Flan","U","C","208176","6.73","31118","9.63","85245","45.6%","53.5%","15045","50.5%","23808","55.5%","38853","53.6%","45846","53.4%","0.2pp"
"Ice Magic","U","C","163121","4.76","42418","6.01","224472","86.8%","56.4%","38916","54.5%","62455","60.6%","101371","58.3%","120934","54.7%","3.6pp"
"Il Mheg Pixie","U","U","45663","3.48","16122","4.01","89710","91.1%","56.3%","16188","58.8%","24337","57.9%","40525","58.3%","48558","54.6%","3.7pp"
"Jill, Shiva's Dominant","U","R","7919","1.73","5595","1.73","32484","94.1%","58.0%","5681","61.7%","8988","64.2%","14669","63.2%","17375","53.5%","9.7pp"
"Louisoix's Sacrifice","U","R","29377","5.89","3723","8.84","2765","12.3%","49.2%","444","","763","50.7%","1207","49.3%","1549","48.9%","0.4pp"
"The Lunar Whale","U","R","9744","2.09","6152","2.12","34872","93.3%","56.3%","5912","58.8%","9526","59.8%","15438","59.4%","19084","53.6%","5.8pp"
